measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44563,African Region,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1990,1615766.413445263,1819028.7788209794,1425297.391106453
1,Deaths,44563,African Region,3,Both,22,All ages,409,Non-communicable diseases,2,Percent,1990,0.23537244357780088,0.26192104823034196,0.21111863130286138
1,Deaths,44563,African Region,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1990,317.16794468034254,357.06746612145014,279.77970103461513
1,Deaths,44565,South-East Asia Region,3,Both,22,All ages,687,Injuries,1,Number,1990,1063230.8024240737,1147934.9835289503,945592.7242146671
1,Deaths,44565,South-East Asia Region,3,Both,22,All ages,687,Injuries,2,Percent,1990,0.0878072067215006,0.09445663418577786,0.0778586701710798
1,Deaths,44565,South-East Asia Region,3,Both,22,All ages,687,Injuries,3,Rate,1990,81.32237744484355,87.80106990866467,72.32469963470092
1,Deaths,44564,Region of the Americas,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1990,3633652.244939693,3675740.900865428,3593892.1604042514
1,Deaths,44564,Region of the Americas,3,Both,22,All ages,409,Non-communicable diseases,2,Percent,1990,0.721152351786716,0.7297083193930785,0.7122388296093585
1,Deaths,44564,Region of the Americas,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1990,507.5612862938712,513.4403773295628,502.0074582746747
1,Deaths,44563,African Region,3,Both,22,All ages,687,Injuries,1,Number,1990,459682.47148624394,502446.0321597003,417883.78477336507
1,Deaths,44563,African Region,3,Both,22,All ages,687,Injuries,2,Percent,1990,0.06696531846627483,0.07232577971433483,0.06152028112613441
1,Deaths,44563,African Region,3,Both,22,All ages,687,Injuries,3,Rate,1990,90.23367701770295,98.6279786526111,82.0287759597627
1,Deaths,44564,Region of the Americas,3,Both,22,All ages,687,Injuries,1,Number,1991,543051.0963983763,551334.201257738,533724.4048689533
1,Deaths,44564,Region of the Americas,3,Both,22,All ages,687,Injuries,2,Percent,1991,0.1071631298831057,0.10855158768110293,0.1056308315268148
1,Deaths,44564,Region of the Americas,3,Both,22,All ages,687,Injuries,3,Rate,1991,74.68879037209399,75.82801113156575,73.40603942448287
1,Deaths,44568,Western Pacific Region,3,Both,22,All ages,294,All causes,1,Number,1990,10754179.684021736,11468116.084851172,9977155.376021016
1,Deaths,44568,Western Pacific Region,3,Both,22,All ages,294,All causes,2,Percent,1990,1.0,1.0,1.0
1,Deaths,44568,Western Pacific Region,3,Both,22,All ages,294,All causes,3,Rate,1990,687.9595414852996,733.6310267492147,638.2522367571354
1,Deaths,44568,Western Pacific Region,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1990,1884310.2801925645,2023855.7101276163,1741520.3160416395
1,Deaths,44568,Western Pacific Region,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",2,Percent,1990,0.1753211102575705,0.18752739745433344,0.16198084276596975
1,Deaths,44568,Western Pacific Region,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,120.54189854232816,129.46881001444385,111.40742979136188
1,Deaths,44564,Region of the Americas,3,Both,22,All ages,294,All causes,1,Number,1990,5038747.039911437,5085847.7924870225,4991064.871174755
1,Deaths,44564,Region of the Americas,3,Both,22,All ages,294,All causes,2,Percent,1990,1.0,1.0,1.0
1,Deaths,44564,Region of the Americas,3,Both,22,All ages,294,All causes,3,Rate,1990,703.8298539571255,710.4090522268458,697.1694414393959
1,Deaths,44564,Region of the Americas,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1990,866271.0423517186,913541.1151547318,821962.223398098
1,Deaths,44564,Region of the Americas,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",2,Percent,1990,0.17191163804321424,0.18047402858986686,0.16422787112809553
1,Deaths,44564,Region of the Americas,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1990,121.00377661276924,127.60662612554675,114.81456542075698
1,Deaths,44563,African Region,3,Both,22,All ages,294,All causes,1,Number,1991,6999952.983016432,7343714.555948881,6638214.444083933
1,Deaths,44563,African Region,3,Both,22,All ages,294,All causes,2,Percent,1991,1.0,1.0,1.0
1,Deaths,44563,African Region,3,Both,22,All ages,294,All causes,3,Rate,1991,1337.1424482627947,1402.8083452145027,1268.042561913161
1,Deaths,44563,African Region,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1991,4926045.631753997,5259468.780234381,4599898.073663868
1,Deaths,44563,African Region,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",2,Percent,1991,0.7037064264145402,0.7292977399425634,0.6757093411650085
1,Deaths,44563,African Region,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1991,940.9812797713057,1004.6723140037154,878.6800406947499
1,Deaths,44567,Eastern Mediterranean Region,3,Both,22,All ages,687,Injuries,1,Number,1990,321937.43184409454,354699.3786413496,284814.52399323665
